,intolerance,Run,Avg pct similar neighbors,Avg pct similar neighbors (A),Avg pct similar neighbors (A) (count empty),Avg pct similar neighbors (B),Avg pct similar neighbors (B) (count empty),Avg pct similar neighbors (count empty),Num Agents,Num Agents (A),Num Agents (B),Pct Happy,Pct Happy Group A,Pct Happy Group B,height,width,num_agents,minority_pc
43,0.625,43,95.4,96.0,89.8,94.3,81.9,86.6,350,210,140,90.9,95.7,83.6,20,20,350,0.4
44,0.625,44,94.3,95.6,88.7,92.3,81.5,85.8,350,210,140,89.4,94.3,82.1,20,20,350,0.4
45,0.625,45,93.1,94.5,87.0,90.9,80.7,84.5,350,210,140,88.3,88.6,87.9,20,20,350,0.4
46,0.625,46,94.2,95.6,88.1,92.1,82.0,85.6,350,210,140,87.7,89.0,85.7,20,20,350,0.4
47,0.625,47,93.0,94.3,86.9,91.0,80.4,84.3,350,210,140,88.0,90.5,84.3,20,20,350,0.4
48,0.625,48,94.2,94.6,88.8,93.6,81.2,85.8,350,210,140,89.7,91.9,86.4,20,20,350,0.4
49,0.625,49,94.5,95.6,88.5,92.8,82.9,86.2,350,210,140,89.7,90.5,88.6,20,20,350,0.4
50,0.75,50,66.2,72.6,65.4,56.3,48.6,58.7,350,210,140,35.1,46.7,17.9,20,20,350,0.4
51,0.75,51,67.7,73.2,65.3,59.1,50.8,59.5,350,210,140,36.0,45.2,22.1,20,20,350,0.4
52,0.75,52,69.0,74.6,67.0,60.4,52.4,61.2,350,210,140,42.3,49.5,31.4,20,20,350,0.4
53,0.75,53,68.7,74.0,66.7,60.1,50.4,60.2,350,210,140,35.1,44.3,21.4,20,20,350,0.4
54,0.75,54,65.1,72.8,65.4,53.1,45.7,57.5,350,210,140,36.3,46.2,21.4,20,20,350,0.4
55,0.75,55,69.5,75.4,67.9,60.3,51.6,61.4,350,210,140,35.7,45.7,20.7,20,20,350,0.4
56,0.75,56,67.7,74.0,66.5,57.6,49.6,59.8,350,210,140,40.9,53.3,22.1,20,20,350,0.4
57,0.75,57,62.2,69.5,61.2,51.0,44.0,54.4,350,210,140,29.7,42.9,10.0,20,20,350,0.4
58,0.75,58,68.6,73.8,65.9,60.5,52.6,60.6,350,210,140,38.3,47.1,25.0,20,20,350,0.4
59,0.75,59,63.2,69.5,62.6,53.1,44.7,55.5,350,210,140,38.0,49.0,21.4,20,20,350,0.4
